timestamp,ist_datetime,ltp,chp,volume,oi,oipercent,totalbuyqty,totalsellqty,bid_price_1,bid_qty_1,bid_orders_1,bid_price_2,bid_qty_2,bid_orders_2,bid_price_3,bid_qty_3,bid_orders_3,bid_price_4,bid_qty_4,bid_orders_4,bid_price_5,bid_qty_5,bid_orders_5,ask_price_1,ask_qty_1,ask_orders_1,ask_price_2,ask_qty_2,ask_orders_2,ask_price_3,ask_qty_3,ask_orders_3,ask_price_4,ask_qty_4,ask_orders_4,ask_price_5,ask_qty_5,ask_orders_5,open,high,low,close
1745817429,2025-04-28 10:47:09,24389.9,1.04,3543225,12519450,6.67,494175,509925,24200.2,24415,24140,24139.1,24383.5,375,1,24383.4,600,1,24383.3,375,1,24383.2,600,1,24383.1,375,1,24390.2,75,1,24390.7,600,1,24390.8,750,3,24390.9,150,2,24391,600,1
1745817430,2025-04-28 10:47:10,24389.7,1.04,3543300,12519450,6.67,423675,512100,24200.2,24415,24140,24139.1,24383.5,75,1,24380.9,225,2,24380.8,600,1,24380.7,75,1,24380.2,525,1,24387.9,675,2,24388,825,3,24388.1,675,2,24388.2,225,2,24388.3,450,2
1745817431,2025-04-28 10:47:11,24387.9,1.03,3543300,12519450,6.67,423675,512100,24200.2,24415,24140,24139.1,24383.5,75,1,24380.9,225,2,24380.8,600,1,24380.7,75,1,24380.2,525,1,24387.9,675,2,24388,825,3,24388.1,675,2,24388.2,225,2,24388.3,450,2
1745817432,2025-04-28 10:47:12,24389,1.04,3543525,12519450,6.67,491775,513750,24200.2,24415,24140,24139.1,24383.5,75,1,24381.4,600,1,24381.3,75,1,24381.2,600,1,24381.1,75,1,24389,600,2,24389.1,825,3,24389.2,675,2,24389.3,525,3,24389.4,150,2
1745817433,2025-04-28 10:47:13,24389,1.04,3543525,12519450,6.67,491775,513750,24200.2,24415,24140,24139.1,24383.5,75,1,24381.4,600,1,24381.3,75,1,24381.2,600,1,24381.1,75,1,24389,600,2,24389.1,825,3,24389.2,675,2,24389.3,525,3,24389.4,150,2
1745817434,2025-04-28 10:47:14,24389,1.04,3543600,12519450,6.67,494550,512250,24200.2,24415,24140,24139.1,24383.5,75,1,24381.6,600,1,24381.5,75,1,24381.4,600,1,24381.3,75,1,24388.8,600,1,24388.9,525,2,24389,675,2,24389.1,75,1,24389.3,75,1
1745817435,2025-04-28 10:47:15,24383.5,1.01,3543675,12519450,6.67,496125,511425,24200.2,24415,24140,24139.1,24383.5,75,1,24381,600,1,24380.9,75,1,24380.8,600,1,24380.7,75,1,24388,675,2,24388.1,675,3,24388.2,675,2,24388.3,150,2,24388.4,75,1
1745817436,2025-04-28 10:47:16,24383.5,1.01,3543675,12519450,6.67,496125,511425,24200.2,24415,24140,24139.1,24383.5,75,1,24381,600,1,24380.9,75,1,24380.8,600,1,24380.7,75,1,24388,675,2,24388.1,675,3,24388.2,675,2,24388.3,150,2,24388.4,75,1
1745817437,2025-04-28 10:47:17,24383.5,1.01,3543675,12519450,6.67,496275,514575,24200.2,24415,24140,24139.1,24383.5,75,1,24381.3,600,1,24381.2,675,2,24381.1,675,2,24381,75,1,24387.9,75,1,24388.4,600,1,24388.5,600,3,24388.6,675,2,24388.7,150,2
1745817438,2025-04-28 10:47:18,24383.5,1.01,3543675,12519450,6.67,496275,514575,24200.2,24415,24140,24139.1,24383.5,75,1,24381.3,600,1,24381.2,675,2,24381.1,675,2,24381,75,1,24387.9,75,1,24388.4,600,1,24388.5,600,3,24388.6,675,2,24388.7,150,2
